sample,meth,tissue,origin_site,transplant_site,GROUP_CODE.x,LENGTH_INIT..mm.,LENGTH_FINAL..mm.
12O-F_S66,12O,Foot,lowexposed,protected,lowexposed_protected,8.01,8.77
14B-F_S71,14B,Foot,lowexposed,protected,lowexposed_protected,13.29,14.49
15G-F_S52,15G,Foot,lowexposed,exposed,lowexposed_exposed,9.4,10.04
18W-F_S81,18W,Foot,lowprotected,protected,lowprotected_protected,12.23,12.93
20G-F_S2,20G,Foot,lowexposed,protected,lowexposed_protected,9.22,9.9
21B-F_S54,21B,Foot,lowexposed,exposed,lowexposed_exposed,8.75,9.55
28W-F_S45,28W,Foot,lowprotected,protected,lowprotected_protected,9.09,9.67
29Y-F_S74,29Y,Foot,lowprotected,protected,lowprotected_protected,9.32,10.01
2B-F_S72,2B,Foot,lowexposed,protected,lowexposed_protected,12.01,13.53
33G-F_S23,33G,Foot,lowexposed,exposed,lowexposed_exposed,10.2,11.58
38B-F_S42,38B,Foot,lowexposed,exposed,lowexposed_exposed,11,13.01
40Y-F_S84,40Y,Foot,lowprotected,exposed,lowprotected_exposed,7.76,9.4
45G-F_S32,45G,Foot,lowexposed,exposed,lowexposed_exposed,7.5,8.21
47W-F_S82,47W,Foot,lowprotected,exposed,lowprotected_exposed,8.92,9.33
50G-F_S13,50G,Foot,lowexposed,protected,lowexposed_protected,8.01,8.68
55B-F_S4,55B,Foot,lowexposed,protected,lowexposed_protected,12.69,13.73
55Y-F_S61,55Y,Foot,lowprotected,protected,lowprotected_protected,9.73,9.94
60G-F_S65,60G,Foot,lowexposed,exposed,lowexposed_exposed,7.13,8.4
61W-F_S38,61W,Foot,lowprotected,exposed,lowprotected_exposed,11.68,12.29
62W-F_S49,62W,Foot,lowprotected,protected,lowprotected_protected,10.65,10.66
63G-F_S27,63G,Foot,lowexposed,protected,lowexposed_protected,7.37,8.22
67B-F_S20,67B,Foot,lowexposed,protected,lowexposed_protected,11.41,11.93
67W-F_S34,67W,Foot,lowprotected,exposed,lowprotected_exposed,13.75,15.02
6O-F_S6,6O,Foot,lowexposed,exposed,lowexposed_exposed,8.29,9
6W-F_S50,6W,Foot,lowprotected,protected,lowprotected_protected,10,10.91
72Y-F_S28,72Y,Foot,lowprotected,exposed,lowprotected_exposed,7.62,8.25
76G-F_S46,76G,Foot,lowexposed,exposed,lowexposed_exposed,7.53,9.24
81G-F_S79,81G,Foot,lowexposed,protected,lowexposed_protected,7.17,7.75
86G-F_S75,86G,Foot,lowexposed,protected,lowexposed_protected,7.17,7.75
89Y-F_S31,89Y,Foot,lowprotected,protected,lowprotected_protected,7.94,8.98
90W-F_S21,90W,Foot,lowprotected,protected,lowprotected_protected,12.19,12.46
91W-F_S30,91W,Foot,lowprotected,exposed,lowprotected_exposed,8.28,9.8
9W-F_S43,9W,Foot,lowprotected,exposed,lowprotected_exposed,10.16,11.46
12O_S22,12O,Gill,lowexposed,protected,lowexposed_protected,8.01,8.77
14B-G_S25,14B,Gill,lowexposed,protected,lowexposed_protected,13.29,14.49
15G-G_S24,15G,Gill,lowexposed,exposed,lowexposed_exposed,9.4,10.04
15W-G_S12,15W,Gill,lowprotected,exposed,lowprotected_exposed,13.62,14.5
18W-G_S41,18W,Gill,lowprotected,protected,lowprotected_protected,12.23,12.93
20G-G_S29,20G,Gill,lowexposed,protected,lowexposed_protected,9.22,9.9
21B-G_S7,21B,Gill,lowexposed,exposed,lowexposed_exposed,8.75,9.55
28W-G_S47,28W,Gill,lowprotected,protected,lowprotected_protected,9.09,9.67
29W-G_S76,29W,Gill,lowprotected,exposed,lowprotected_exposed,12.02,13.77
29Y-G_S68,29Y,Gill,lowprotected,protected,lowprotected_protected,9.32,10.01
2B-G_S17,2B,Gill,lowexposed,protected,lowexposed_protected,12.01,13.53
38B-G_S78,38B,Gill,lowexposed,exposed,lowexposed_exposed,11,13.01
40Y-G_S63,40Y,Gill,lowprotected,exposed,lowprotected_exposed,7.76,9.4
45G-G_S69,45G,Gill,lowexposed,exposed,lowexposed_exposed,7.5,8.21
47W-G_S80,47W,Gill,lowprotected,exposed,lowprotected_exposed,8.92,9.33
50B-G_S83,50B,Gill,lowexposed,exposed,lowexposed_exposed,11.35,12.77
50G-G_S33,50G,Gill,lowexposed,protected,lowexposed_protected,8.01,8.68
51B-G_S18,51B,Gill,lowexposed,protected,lowexposed_protected,10.87,11.36
55B-G_S40,55B,Gill,lowexposed,protected,lowexposed_protected,12.69,13.73
55Y-G_S10,55Y,Gill,lowprotected,protected,lowprotected_protected,9.73,9.94
56Y-G_S53,56Y,Gill,lowprotected,exposed,lowprotected_exposed,8.1,8.74
60G-G_S58,60G,Gill,lowexposed,exposed,lowexposed_exposed,7.13,8.4
61W-G_S5,61W,Gill,lowprotected,exposed,lowprotected_exposed,11.68,12.29
63G-G_S35,63G,Gill,lowexposed,protected,lowexposed_protected,7.37,8.22
67B-G_S8,67B,Gill,lowexposed,protected,lowexposed_protected,11.41,11.93
67W-G_S86,67W,Gill,lowprotected,exposed,lowprotected_exposed,13.75,15.02
6W-G_S15,6W,Gill,lowprotected,protected,lowprotected_protected,10,10.91
75Y-G_S9,75Y,Gill,lowprotected,protected,lowprotected_protected,8.42,9.12
76G-G_S85,76G,Gill,lowexposed,exposed,lowexposed_exposed,7.53,9.24
90W-G_S67,90W,Gill,lowprotected,protected,lowprotected_protected,12.19,12.46
91W-G_S1,91W,Gill,lowprotected,exposed,lowprotected_exposed,8.28,9.8
9W-G_S48,9W,Gill,lowprotected,exposed,lowprotected_exposed,10.16,11.46
